name,formalName,description,startAt,duration,type
Contest1,Programming Contest 1: The Ultimate Coding Challenge,This is the 1th contest in the series. Compete with others in a fun and challenging environment.,2025-06-01T10:00:00,4,SINGLE
Contest2,Programming Contest 2: The Ultimate Coding Challenge,This is the 2th contest in the series. Compete with others in a fun and challenging environment.,2025-06-02T10:00:00,3,TEAM
Contest3,Programming Contest 3: The Ultimate Coding Challenge,This is the 3th contest in the series. Compete with others in a fun and challenging environment.,2025-06-03T10:00:00,4,TEAM
Contest4,Programming Contest 4: The Ultimate Coding Challenge,This is the 4th contest in the series. Compete with others in a fun and challenging environment.,2025-06-04T10:00:00,2,SINGLE
Contest5,Programming Contest 5: The Ultimate Coding Challenge,This is the 5th contest in the series. Compete with others in a fun and challenging environment.,2025-06-05T10:00:00,2,TEAM
Contest6,Programming Contest 6: The Ultimate Coding Challenge,This is the 6th contest in the series. Compete with others in a fun and challenging environment.,2025-06-06T10:00:00,4,TEAM
Contest7,Programming Contest 7: The Ultimate Coding Challenge,This is the 7th contest in the series. Compete with others in a fun and challenging environment.,2025-06-07T10:00:00,3,SINGLE
Contest8,Programming Contest 8: The Ultimate Coding Challenge,This is the 8th contest in the series. Compete with others in a fun and challenging environment.,2025-06-08T10:00:00,4,TEAM
Contest9,Programming Contest 9: The Ultimate Coding Challenge,This is the 9th contest in the series. Compete with others in a fun and challenging environment.,2025-06-09T10:00:00,4,TEAM
Contest10,Programming Contest 10: The Ultimate Coding Challenge,This is the 10th contest in the series. Compete with others in a fun and challenging environment.,2025-06-10T10:00:00,2,SINGLE
